DETECTOR,ID,region,filename,chip
WFC3,21832,2,goodss-02-G141_21832.1D.fits,0
WFC3,45975,3,goodss-03-G141_45975.1D.fits,0
WFC3,46274,3,goodss-03-G141_46274.1D.fits,0
WFC3,46500,3,goodss-03-G141_46500.1D.fits,0
WFC3,46636,3,goodss-03-G141_46636.1D.fits,0
WFC3,13319,4,goodss-04-G141_13319.1D.fits,0
WFC3,15098,4,goodss-04-G141_15098.1D.fits,0
WFC3,17021,4,goodss-04-G141_17021.1D.fits,0
WFC3,18169,4,goodss-04-G141_18169.1D.fits,0
WFC3,18169,7,goodss-07-G141_18169.1D.fits,0
WFC3,20254,7,goodss-07-G141_20254.1D.fits,0
WFC3,23102,7,goodss-07-G141_23102.1D.fits,0
WFC3,23237,7,goodss-07-G141_23237.1D.fits,0
WFC3,20960,8,goodss-08-G141_20960.1D.fits,0
WFC3,25053,8,goodss-08-G141_25053.1D.fits,0
WFC3,25884,8,goodss-08-G141_25884.1D.fits,0
WFC3,31165,9,goodss-09-G141_31165.1D.fits,0
WFC3,31564,9,goodss-09-G141_31564.1D.fits,0
WFC3,32478,9,goodss-09-G141_32478.1D.fits,0
WFC3,10176,10,goodss-10-G141_10176.1D.fits,0
WFC3,10997,10,goodss-10-G141_10997.1D.fits,0
WFC3,13531,10,goodss-10-G141_13531.1D.fits,0
WFC3,15951,10,goodss-10-G141_15951.1D.fits,0
WFC3,40504,11,goodss-11-G141_40504.1D.fits,0
WFC3,45975,11,goodss-11-G141_45975.1D.fits,0
WFC3,46274,11,goodss-11-G141_46274.1D.fits,0
WFC3,46500,11,goodss-11-G141_46500.1D.fits,0
WFC3,46636,11,goodss-11-G141_46636.1D.fits,0
WFC3,36250,12,goodss-12-G141_36250.1D.fits,0
WFC3,39868,12,goodss-12-G141_39868.1D.fits,0
WFC3,35688,17,goodss-17-G141_35688.1D.fits,0
WFC3,31553,18,goodss-18-G141_31553.1D.fits,0
WFC3,12009,19,goodss-19-G141_12009.1D.fits,0
WFC3,14729,19,goodss-19-G141_14729.1D.fits,0
WFC3,16493,19,goodss-19-G141_16493.1D.fits,0
WFC3,16716,19,goodss-19-G141_16716.1D.fits,0
WFC3,17212,20,goodss-20-G141_17212.1D.fits,0
WFC3,19415,20,goodss-20-G141_19415.1D.fits,0
WFC3,42037,23,goodss-23-G141_42037.1D.fits,0
WFC3,31239,24,goodss-24-G141_31239.1D.fits,0
WFC3,32478,24,goodss-24-G141_32478.1D.fits,0
WFC3,21832,25,goodss-25-G141_21832.1D.fits,0
WFC3,28060,25,goodss-25-G141_28060.1D.fits,0
WFC3,7236,26,goodss-26-G141_07236.1D.fits,0
WFC3,11095,26,goodss-26-G141_11095.1D.fits,0
WFC3,20960,27,goodss-27-G141_20960.1D.fits,0
WFC3,37374,29,goodss-29-G141_37374.1D.fits,0
WFC3,37586,29,goodss-29-G141_37586.1D.fits,0
WFC3,42398,29,goodss-29-G141_42398.1D.fits,0
WFC3,35688,30,goodss-30-G141_35688.1D.fits,0
WFC3,39015,30,goodss-30-G141_39015.1D.fits,0
WFC3,21857,31,goodss-31-G141_21857.1D.fits,0
WFC3,26914,31,goodss-31-G141_26914.1D.fits,0
WFC3,27651,31,goodss-31-G141_27651.1D.fits,0
WFC3,27969,31,goodss-31-G141_27969.1D.fits,0
WFC3,26914,32,goodss-32-G141_26914.1D.fits,0
WFC3,27965,32,goodss-32-G141_27965.1D.fits,0
WFC3,29794,32,goodss-32-G141_29794.1D.fits,0
WFC3,34671,33,goodss-33-G141_34671.1D.fits,0
WFC3,35579,33,goodss-33-G141_35579.1D.fits,0
WFC3,36482,33,goodss-33-G141_36482.1D.fits,0
WFC3,37282,33,goodss-33-G141_37282.1D.fits,0
WFC3,37739,33,goodss-33-G141_37739.1D.fits,0
WFC3,38173,33,goodss-33-G141_38173.1D.fits,0
WFC3,23102,34,goodss-34-G141_23102.1D.fits,0
WFC3,23237,34,goodss-34-G141_23237.1D.fits,0
WFC3,25053,34,goodss-34-G141_25053.1D.fits,0
WFC3,25884,34,goodss-34-G141_25884.1D.fits,0
WFC3,27965,34,goodss-34-G141_27965.1D.fits,0
WFC3,29794,34,goodss-34-G141_29794.1D.fits,0
WFC3,47961,35,goodss-35-G141_47961.1D.fits,0
WFC3,23102,36,goodss-36-G141_23102.1D.fits,0
WFC3,23237,36,goodss-36-G141_23237.1D.fits,0
WFC3,25053,36,goodss-36-G141_25053.1D.fits,0
WFC3,25884,36,goodss-36-G141_25884.1D.fits,0
WFC3,27965,36,goodss-36-G141_27965.1D.fits,0
WFC3,29794,36,goodss-36-G141_29794.1D.fits,0
WFC3,23102,37,goodss-37-G141_23102.1D.fits,0
WFC3,23237,37,goodss-37-G141_23237.1D.fits,0
WFC3,25053,37,goodss-37-G141_25053.1D.fits,0
WFC3,25884,37,goodss-37-G141_25884.1D.fits,0
WFC3,27965,37,goodss-37-G141_27965.1D.fits,0
WFC3,29794,37,goodss-37-G141_29794.1D.fits,0
WFC3,23102,38,goodss-38-G141_23102.1D.fits,0
WFC3,23237,38,goodss-38-G141_23237.1D.fits,0
WFC3,25053,38,goodss-38-G141_25053.1D.fits,0
WFC3,25884,38,goodss-38-G141_25884.1D.fits,0
WFC3,27965,38,goodss-38-G141_27965.1D.fits,0
WFC3,29794,38,goodss-38-G141_29794.1D.fits,0